Transaction ID,User ID,Amount,Currency,Status
3,999,15000.00,USD,FLAGGED_FRAUD
25,711,30934.22,USD,FLAGGED_FRAUD
40,779,11853.27,USD,FLAGGED_FRAUD
56,943,10376.16,USD,FLAGGED_FRAUD
58,322,22938.52,USD,FLAGGED_FRAUD
67,904,11074.68,USD,FLAGGED_FRAUD
69,583,48404.93,USD,FLAGGED_FRAUD
75,169,18023.04,USD,FLAGGED_FRAUD
87,593,49916.37,USD,FLAGGED_FRAUD
104,402,20598.52,USD,FLAGGED_FRAUD
110,942,23112.97,USD,FLAGGED_FRAUD
115,728,44964.38,USD,FLAGGED_FRAUD
125,534,39151.98,USD,FLAGGED_FRAUD
139,443,22750.35,USD,FLAGGED_FRAUD
140,625,42790.55,USD,FLAGGED_FRAUD
142,742,40201.87,USD,FLAGGED_FRAUD
144,313,24806.68,USD,FLAGGED_FRAUD
146,862,10999.18,USD,FLAGGED_FRAUD
152,673,34696.08,USD,FLAGGED_FRAUD
154,148,48693.05,USD,FLAGGED_FRAUD
160,895,21784.57,USD,FLAGGED_FRAUD
172,528,47443.76,USD,FLAGGED_FRAUD
173,904,40643.14,USD,FLAGGED_FRAUD
180,356,23220.28,USD,FLAGGED_FRAUD
181,920,41618.87,USD,FLAGGED_FRAUD
183,530,48121.68,USD,FLAGGED_FRAUD
187,139,20234.99,USD,FLAGGED_FRAUD
193,676,38336.08,USD,FLAGGED_FRAUD
195,723,16736.79,USD,FLAGGED_FRAUD
198,936,14737.16,USD,FLAGGED_FRAUD
204,156,15723.50,USD,FLAGGED_FRAUD
209,988,24161.26,USD,FLAGGED_FRAUD
217,877,41858.66,USD,FLAGGED_FRAUD
224,803,32486.07,USD,FLAGGED_FRAUD
229,897,23412.76,USD,FLAGGED_FRAUD
233,417,29217.32,USD,FLAGGED_FRAUD
237,342,27481.62,USD,FLAGGED_FRAUD
241,262,35842.39,USD,FLAGGED_FRAUD
251,254,41792.66,USD,FLAGGED_FRAUD
255,780,28379.05,USD,FLAGGED_FRAUD
256,864,23394.81,USD,FLAGGED_FRAUD
261,947,28245.49,USD,FLAGGED_FRAUD
262,379,34969.78,USD,FLAGGED_FRAUD
288,188,39828.06,USD,FLAGGED_FRAUD
292,165,29581.51,USD,FLAGGED_FRAUD
296,674,25996.67,USD,FLAGGED_FRAUD
306,513,47346.69,USD,FLAGGED_FRAUD
312,846,14707.43,USD,FLAGGED_FRAUD
313,189,47076.44,USD,FLAGGED_FRAUD
324,413,32398.59,USD,FLAGGED_FRAUD
326,191,44214.57,USD,FLAGGED_FRAUD
333,301,14888.83,USD,FLAGGED_FRAUD
334,321,45526.43,USD,FLAGGED_FRAUD
339,217,27104.89,USD,FLAGGED_FRAUD
341,773,40581.86,USD,FLAGGED_FRAUD
351,476,17582.59,USD,FLAGGED_FRAUD
356,519,12214.56,USD,FLAGGED_FRAUD
364,212,41021.81,USD,FLAGGED_FRAUD
366,121,34245.49,USD,FLAGGED_FRAUD
371,593,29699.96,USD,FLAGGED_FRAUD
373,922,20560.91,USD,FLAGGED_FRAUD
377,790,42976.60,USD,FLAGGED_FRAUD
383,997,49986.84,USD,FLAGGED_FRAUD
385,888,29698.67,USD,FLAGGED_FRAUD
389,750,10069.42,USD,FLAGGED_FRAUD
393,123,37550.87,USD,FLAGGED_FRAUD
395,941,11869.74,USD,FLAGGED_FRAUD
408,891,29406.83,USD,FLAGGED_FRAUD
418,325,36659.05,USD,FLAGGED_FRAUD
420,967,22373.95,USD,FLAGGED_FRAUD
424,862,33026.57,USD,FLAGGED_FRAUD
426,145,18911.04,USD,FLAGGED_FRAUD
436,866,15359.58,USD,FLAGGED_FRAUD
437,915,29793.50,USD,FLAGGED_FRAUD
441,759,41008.18,USD,FLAGGED_FRAUD
449,357,48859.44,USD,FLAGGED_FRAUD
451,441,21073.14,USD,FLAGGED_FRAUD
453,955,48691.98,USD,FLAGGED_FRAUD
454,892,13326.52,USD,FLAGGED_FRAUD
455,855,25640.46,USD,FLAGGED_FRAUD
460,429,34794.11,USD,FLAGGED_FRAUD
468,919,40618.10,USD,FLAGGED_FRAUD
469,530,42025.24,USD,FLAGGED_FRAUD
490,274,37946.60,USD,FLAGGED_FRAUD
491,520,48054.87,USD,FLAGGED_FRAUD
508,142,40600.61,USD,FLAGGED_FRAUD
516,637,12897.35,USD,FLAGGED_FRAUD
524,210,34963.42,USD,FLAGGED_FRAUD
526,294,26633.66,USD,FLAGGED_FRAUD
540,770,46155.52,USD,FLAGGED_FRAUD
545,316,10724.88,USD,FLAGGED_FRAUD
570,729,12913.55,USD,FLAGGED_FRAUD
573,358,21874.10,USD,FLAGGED_FRAUD
580,828,28191.11,USD,FLAGGED_FRAUD
581,595,36329.17,USD,FLAGGED_FRAUD
589,225,37818.70,USD,FLAGGED_FRAUD
594,275,13690.42,USD,FLAGGED_FRAUD
598,632,47827.48,USD,FLAGGED_FRAUD
604,949,20036.57,USD,FLAGGED_FRAUD
606,368,20610.06,USD,FLAGGED_FRAUD
607,115,13295.43,USD,FLAGGED_FRAUD
629,722,16798.00,USD,FLAGGED_FRAUD
634,818,46454.67,USD,FLAGGED_FRAUD
641,354,12203.45,USD,FLAGGED_FRAUD
647,868,27538.77,USD,FLAGGED_FRAUD
662,851,42384.75,USD,FLAGGED_FRAUD
665,353,11259.58,USD,FLAGGED_FRAUD
668,349,33638.20,USD,FLAGGED_FRAUD
685,689,25662.30,USD,FLAGGED_FRAUD
687,217,40966.81,USD,FLAGGED_FRAUD
688,744,13915.60,USD,FLAGGED_FRAUD
693,531,30162.16,USD,FLAGGED_FRAUD
700,872,45596.24,USD,FLAGGED_FRAUD
725,177,30797.44,USD,FLAGGED_FRAUD
729,247,20938.02,USD,FLAGGED_FRAUD
734,915,44716.59,USD,FLAGGED_FRAUD
